"BUENOS AIRES","24","62251206","OIC 409","8CB2STZZZEB000283","INSTALACIONES DOMICILIARIAS"
"BUENOS AIRES","29","62251205","OEA 950","8CB2STZZZEB000219","INFORMÁTICA, REDES Y REPARACIÓN DE PC"
"BUENOS AIRES","68","62251208","OSS 294","8CB2STZZZFB000101","INSTALACIONES DOMICILIARIAS"
"BUENOS AIRES","71","62251207","ORT 277","8CB2STZZZFB000070","GENÉRICA"
"BUENOS AIRES","73","A SOLICICTAR ","ORT 276","8CB2STZZZFB000071","INFORMÁTICA, REDES Y REPARACIÓN DE PC -   GENERICA"
"BUENOS AIRES","97","62251209","AA 841 ZV","8CB2STZZZGB000393","SOLDADURA"
"BUENOS AIRES","108","","AB 005 EZ","8CB2STZZZHB000014","REPARACIÓN DE AUTOS Y MOTOS "
"BUENOS AIRES","113","62251211","AB 005 EU","8CB2STZZZHB000039","ENERGÍAS RENOVABLES Y ALTERNATIVAS"
"BUENOS AIRES","117","62251210","AB 831 XF","8CB2STZZZHB000349","REFRIGERACIÓN Y CLIMATIZACIÓN"
"BUENOS AIRES","165","62251213","AD 174 HK","SI","AUTOMATIZACIÓN INDUSTRIAL"
"BUENOS AIRES","166","62251214","AD 174 HL","SI","AUTOMATIZACIÓN INDUSTRIAL"
"BUENOS AIRES","167","62251212","AD 174 HM","SI","ENERGÍAS RENOVABLES Y ALTERNATIVAS"
"BUENOS AIRES","168","62251217","AD 174 HN","SI","GENÉRICA"
"BUENOS AIRES","169","62251215","AD 174 HO","SI","GENERICA - EX BIOTECNOLOGÍA VEGETAL "
"BUENOS AIRES","170","62251216","AD 174 HP","SI","GENERICA - EX BIOTECNOLOGÍA VEGETAL "
"CATAMARCA","36","100090302","OIC 408","8CB2STZZZEB000282","INSTALACIONES DOMICILIARIAS"
"CATAMARCA","46","100090303","ODN 386","8CB2SUZZZEB000013","GASTRONOMÍA"
"CATAMARCA","55","100090301","ODN 387","8CB2SUZZZEB000012","TEXTIL E INDUMENTARIA"
"CATAMARCA","75","100090304","OUS 104","8CB2STZZZFB000127","REFRIGERACIÓN Y CLIMATIZACIÓN"
"CATAMARCA","99","100090306","AA 841 ZP","8CB2STZZZGB000390","REPARACIÓN DE AUTOS Y MOTOS"
"CATAMARCA","119","100090305","OXY 793","8CB2STZZZFB000194","SOLDADURA"
"CATAMARCA","140","100090307","AD 892 NR","8CB2STZZZKB000216","SOLDADURA"
"CHACO","8","220216203","AA 495 EK","8CB2STZZZGB000283","TEXTIL E INDUMENTARIA"
"CHACO","26","220216200","OHC  441","8CB2STZZZEB000226","INSTALACIONES DOMICILIARIAS"
"CHACO","77","220216202","ORT  278","8CB2STZZZFB000068","INFORMÁTICA, REDES Y REPARACIÓN DE PC"
"CHACO","79","220216201","OWK 716","8CB2STZZZFB000150","SOLDADURA"
"CHACO","83","220216204","AA 665 UP","8CB2STZZZGB000345","AUTOMATIZACIÓN INDUSTRIAL"
"CHACO","125","220216205","AB 831 XI","8CB2STZZZHB000351","REFRIGERACIÓN Y CLIMATIZACIÓN"
"CHACO ","135","A SOLICICTAR ","AD 866 AQ","8CB2STZZZKB000185","REPARACIÓN DE AUTOS Y MOTOS (EX MECANICA DE AUTOS Y MOTOS )"
"CHUBUT","2","260078507","AB 831 XH","8CB2STZZZHB000347","GASTRONOMÍA"
"CHUBUT","23","260078501","OEA 946","8CB2STZZZEB000218","INFORMÁTICA, REDES Y REPARACIÓN DE PC"
"CHUBUT","44","260078502","OIC 407","8CB2STZZZEB000284","INSTALACIONES DOMICILIARIAS"
"CHUBUT","47","260078503","OJG 108","8CB2STZZZEB000290","INSTALACIONES DOMICILIARIAS"
"CHUBUT","74","260078506","AB 005 EX","8CB2STZZZHB000020","SOLDADURA"
"CHUBUT","82","260078504","OUS 107","8CB2STZZZFB000129","REFRIGERACIÓN Y CLIMATIZACIÓN"
